CO2,PIR_TRIGGER,LABEL
5.73E-01,0.00E+00,3.00E+00
5.71E-01,0.00E+00,3.00E+00
5.68E-01,0.00E+00,3.00E+00
5.60E-01,0.00E+00,3.00E+00
5.63E-01,0.00E+00,3.00E+00
5.59E-01,0.00E+00,3.00E+00
5.63E-01,5.26E-02,4.00E+00
5.61E-01,0.00E+00,3.00E+00
5.65E-01,0.00E+00,3.00E+00
5.64E-01,5.26E-02,4.00E+00
5.59E-01,0.00E+00,3.00E+00
5.64E-01,0.00E+00,3.00E+00
5.63E-01,0.00E+00,3.00E+00
5.60E-01,0.00E+00,3.00E+00
5.52E-01,0.00E+00,3.00E+00
5.47E-01,5.26E-02,3.00E+00
5.47E-01,0.00E+00,3.00E+00
5.42E-01,5.26E-02,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.47E-01,0.00E+00,3.00E+00
5.54E-01,0.00E+00,3.00E+00
5.48E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.42E-01,5.26E-02,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.20E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.31E-01,5.26E-02,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.40E-01,5.26E-02,3.00E+00
5.43E-01,5.26E-02,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.43E-01,5.26E-02,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.54E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.47E-01,0.00E+00,3.00E+00
5.44E-01,5.26E-02,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.38E-01,5.26E-02,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.38E-01,5.26E-02,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.38E-01,5.26E-02,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.42E-01,5.26E-02,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.35E-01,5.26E-02,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.35E-01,1.05E-01,4.00E+00
5.40E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.36E-01,5.26E-02,3.00E+00
5.36E-01,5.26E-02,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.40E-01,5.26E-02,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.30E-01,5.26E-02,3.00E+00
5.35E-01,5.26E-02,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.43E-01,5.26E-02,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.28E-01,0.00E+00,3.00E+00
