CO2,PIR_TRIGGER,LABEL
5.84E-01,0.00E+00,0.00E+00
5.76E-01,0.00E+00,0.00E+00
5.76E-01,0.00E+00,0.00E+00
5.73E-01,0.00E+00,0.00E+00
5.64E-01,0.00E+00,0.00E+00
5.73E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.86E-01,0.00E+00,0.00E+00
5.89E-01,0.00E+00,0.00E+00
5.92E-01,0.00E+00,0.00E+00
5.90E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.77E-01,0.00E+00,0.00E+00
5.82E-01,0.00E+00,0.00E+00
5.84E-01,0.00E+00,0.00E+00
5.83E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.84E-01,0.00E+00,0.00E+00
5.83E-01,0.00E+00,0.00E+00
5.84E-01,0.00E+00,0.00E+00
5.74E-01,0.00E+00,0.00E+00
5.71E-01,0.00E+00,0.00E+00
5.73E-01,0.00E+00,0.00E+00
5.73E-01,0.00E+00,0.00E+00
5.70E-01,0.00E+00,0.00E+00
5.67E-01,0.00E+00,0.00E+00
5.67E-01,0.00E+00,0.00E+00
5.80E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.73E-01,0.00E+00,0.00E+00
5.64E-01,0.00E+00,0.00E+00
5.67E-01,0.00E+00,0.00E+00
5.67E-01,0.00E+00,0.00E+00
5.71E-01,0.00E+00,0.00E+00
5.69E-01,0.00E+00,0.00E+00
5.70E-01,0.00E+00,0.00E+00
5.71E-01,0.00E+00,0.00E+00
5.74E-01,0.00E+00,0.00E+00
5.74E-01,0.00E+00,0.00E+00
5.73E-01,0.00E+00,0.00E+00
5.74E-01,0.00E+00,0.00E+00
5.74E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.82E-01,0.00E+00,0.00E+00
5.89E-01,0.00E+00,0.00E+00
5.87E-01,0.00E+00,0.00E+00
5.87E-01,0.00E+00,0.00E+00
5.82E-01,0.00E+00,0.00E+00
5.84E-01,0.00E+00,0.00E+00
5.82E-01,0.00E+00,0.00E+00
5.76E-01,0.00E+00,0.00E+00
5.74E-01,0.00E+00,0.00E+00
5.74E-01,0.00E+00,0.00E+00
5.73E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.77E-01,0.00E+00,0.00E+00
5.80E-01,0.00E+00,0.00E+00
5.83E-01,0.00E+00,0.00E+00
5.89E-01,0.00E+00,0.00E+00
5.87E-01,0.00E+00,0.00E+00
5.83E-01,0.00E+00,0.00E+00
5.83E-01,0.00E+00,0.00E+00
5.80E-01,0.00E+00,0.00E+00
5.82E-01,0.00E+00,0.00E+00
5.80E-01,0.00E+00,0.00E+00
5.83E-01,0.00E+00,0.00E+00
5.79E-01,0.00E+00,0.00E+00
5.89E-01,0.00E+00,0.00E+00
5.77E-01,0.00E+00,0.00E+00
5.83E-01,0.00E+00,0.00E+00
5.93E-01,0.00E+00,0.00E+00
5.96E-01,0.00E+00,0.00E+00
5.93E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
5.93E-01,0.00E+00,0.00E+00
5.93E-01,0.00E+00,0.00E+00
5.99E-01,0.00E+00,0.00E+00
6.02E-01,0.00E+00,0.00E+00
5.90E-01,0.00E+00,0.00E+00
6.12E-01,0.00E+00,0.00E+00
6.06E-01,0.00E+00,0.00E+00
5.99E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
6.06E-01,0.00E+00,0.00E+00
6.03E-01,0.00E+00,0.00E+00
5.96E-01,0.00E+00,0.00E+00
6.03E-01,0.00E+00,0.00E+00
6.05E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
5.96E-01,0.00E+00,0.00E+00
6.02E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
6.02E-01,0.00E+00,0.00E+00
6.05E-01,0.00E+00,0.00E+00
6.05E-01,0.00E+00,0.00E+00
6.03E-01,4.55E-02,2.00E+00
6.06E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
6.03E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
5.99E-01,0.00E+00,0.00E+00
6.09E-01,0.00E+00,0.00E+00
6.06E-01,0.00E+00,0.00E+00
6.05E-01,0.00E+00,0.00E+00
6.03E-01,0.00E+00,0.00E+00
5.99E-01,0.00E+00,0.00E+00
5.96E-01,0.00E+00,0.00E+00
6.00E-01,4.55E-02,2.00E+00
6.03E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
5.93E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
6.03E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
5.96E-01,0.00E+00,0.00E+00
5.95E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
5.99E-01,0.00E+00,0.00E+00
5.96E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
6.05E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
6.02E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
5.99E-01,4.55E-02,2.00E+00
5.99E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
5.99E-01,0.00E+00,0.00E+00
6.03E-01,9.09E-02,2.00E+00
6.02E-01,0.00E+00,0.00E+00
6.02E-01,4.55E-02,2.00E+00
6.00E-01,0.00E+00,0.00E+00
6.06E-01,0.00E+00,0.00E+00
6.12E-01,4.55E-02,2.00E+00
6.10E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
6.05E-01,0.00E+00,0.00E+00
5.99E-01,0.00E+00,0.00E+00
6.05E-01,0.00E+00,0.00E+00
5.97E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
6.06E-01,0.00E+00,0.00E+00
6.00E-01,0.00E+00,0.00E+00
6.02E-01,0.00E+00,0.00E+00
6.02E-01,0.00E+00,0.00E+00
6.05E-01,0.00E+00,0.00E+00
5.99E-01,0.00E+00,0.00E+00
5.93E-01,0.00E+00,0.00E+00
5.89E-01,0.00E+00,0.00E+00
5.92E-01,0.00E+00,0.00E+00
5.87E-01,0.00E+00,0.00E+00
5.86E-01,0.00E+00,0.00E+00
5.89E-01,0.00E+00,0.00E+00
5.82E-01,0.00E+00,0.00E+00
5.87E-01,0.00E+00,0.00E+00
5.83E-01,4.55E-02,2.00E+00
5.96E-01,0.00E+00,0.00E+00
5.96E-01,0.00E+00,0.00E+00
5.92E-01,0.00E+00,0.00E+00
5.93E-01,0.00E+00,0.00E+00
5.95E-01,0.00E+00,0.00E+00
5.92E-01,0.00E+00,0.00E+00
5.82E-01,0.00E+00,0.00E+00
