CO2,PIR_TRIGGER,LABEL
1.466298778084351717e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.450532124556562774e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.462357114702404481e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.466298778084351717e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.466298778084351717e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.458415451320457246e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.466298778084351717e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.458415451320457246e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.462357114702404481e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.501773748521876284e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.493890421757981812e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.493890421757981812e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.497832085139929048e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.474182104848245911e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.470240441466298675e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.482065431612140383e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.474182104848245911e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.493890421757981812e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.493890421757981812e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.478123768230193147e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.505715411903823520e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.478123768230193147e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.489948758376034577e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.486007094994087618e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.489948758376034577e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.501773748521876284e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.513598738667717714e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.915648403626330210e-01,2.580645161290322509e-01,2.000000000000000000e+00
3.050847457627118842e-01,2.258064516129032195e-01,2.000000000000000000e+00
3.890421757981868400e-01,4.516129032258064391e-01,2.000000000000000000e+00
4.710287741426882335e-01,2.258064516129032195e-01,1.000000000000000000e+00
5.120220733149388748e-01,1.612903225806451568e-01,1.000000000000000000e+00
5.727236893969255282e-01,1.612903225806451568e-01,1.000000000000000000e+00
6.184469846275127969e-01,1.935483870967741882e-01,1.000000000000000000e+00
6.003153330705557345e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.916436736302719268e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.758770201024832058e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.624753646038628263e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.549862041781631339e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.490737091052424468e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.435553803705163167e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.364603862830114034e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.297595585337012691e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.218762317698069086e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.159637366968861105e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.076862435947969709e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.966495861253448774e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.907370910524241348e-01,9.677419354838709409e-02,1.000000000000000000e+00
3.346472211273157082e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.184864012613322637e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.774931020890815669e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.558139534883721034e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.439889633425305349e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.420181316515569447e-01,6.451612903225806273e-02,1.000000000000000000e+00
3.188805675995269873e-01,8.064516129032257563e-01,2.000000000000000000e+00
3.949546708711075826e-01,4.516129032258064391e-01,2.000000000000000000e+00
3.665746945210878738e-01,2.903225806451613100e-01,2.000000000000000000e+00
3.744580212849822898e-01,3.870967741935483764e-01,2.000000000000000000e+00
3.720930232558139483e-01,9.677419354838709409e-02,1.000000000000000000e+00
3.441072132439889630e-01,1.612903225806451568e-01,1.000000000000000000e+00
3.441072132439889630e-01,9.677419354838709409e-02,1.000000000000000000e+00
2.759164367363027281e-01,1.612903225806451568e-01,2.000000000000000000e+00
2.869530942057548217e-01,3.225806451612903136e-02,1.000000000000000000e+00
3.492313756405203140e-01,2.903225806451613100e-01,2.000000000000000000e+00
3.322822230981474223e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.240047299960583382e-01,0.000000000000000000e+00,1.000000000000000000e+00
