CO2,PIR_TRIGGER,LABEL
1.238219044523886925e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.238219044523886925e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.241468963275918075e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.238219044523886925e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.234969125771855636e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.238219044523886925e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.228469288267793336e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.234969125771855636e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.238219044523886925e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.247968800779980514e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.221969450763730897e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.241468963275918075e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.234969125771855636e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.228469288267793336e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.251218719532011803e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.247968800779980514e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.238219044523886925e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.234969125771855636e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.228469288267793336e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.225219369515762047e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.225219369515762047e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.231719207019824486e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.225219369515762047e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.212219694507637308e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.228469288267793336e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.225219369515762047e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.212219694507637308e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.208969775755606157e-01,1.199999999999999956e-01,4.000000000000000000e+00
1.316217094572635637e-01,2.800000000000000266e-01,4.000000000000000000e+00
2.307442313942151546e-01,5.200000000000000178e-01,4.000000000000000000e+00
3.058173545661358461e-01,2.800000000000000266e-01,4.000000000000000000e+00
3.760155996100097431e-01,2.800000000000000266e-01,4.000000000000000000e+00
3.724406889827754363e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.701657458563535896e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.623659408514787184e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.545661358466038471e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.500162495937601537e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.451413714657133314e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.389665258368541045e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.363665908352291289e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.334416639584010245e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.288917777055573866e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.256418589535261532e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.246668833279168220e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.175170620734481530e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.126421839454013862e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.139421514462138463e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.103672408189795395e-01,0.000000000000000000e+00,3.000000000000000000e+00
3.061423464413389750e-01,0.000000000000000000e+00,3.000000000000000000e+00
